Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
31063 Cabredo;Todas las edades;Total;1 de enero de 2022;78
42044 Cabrejas del Campo;Todas las edades;Total;1 de enero de 2022;50
42045 Cabrejas del Pinar;Todas las edades;Total;1 de enero de 2022;325
08028 Cabrera d'Anoia;Todas las edades;Total;1 de enero de 2022;1.606
08029 Cabrera de Mar;Todas las edades;Total;1 de enero de 2022;4.848
28030 Cabrera, La;Todas las edades;Total;1 de enero de 2022;2.805
37067 Cabrerizos;Todas las edades;Total;1 de enero de 2022;4.276
10036 Cabrero;Todas las edades;Total;1 de enero de 2022;347
47029 Cabreros del Monte;Todas las edades;Total;1 de enero de 2022;53
24028 Cabreros del Río;Todas las edades;Total;1 de enero de 2022;403
24029 Cabrillanes;Todas las edades;Total;1 de enero de 2022;713
37068 Cabrillas;Todas las edades;Total;1 de enero de 2022;333
08030 Cabrils;Todas las edades;Total;1 de enero de 2022;7.729
39014 Cabuérniga;Todas las edades;Total;1 de enero de 2022;994
24030 Cacabelos;Todas las edades;Total;1 de enero de 2022;4.874
10037 Cáceres;Todas las edades;Total;1 de enero de 2022;95.456
10038 Cachorrilla;Todas las edades;Total;1 de enero de 2022;91
18034 Cacín;Todas las edades;Total;1 de enero de 2022;547
10039 Cadalso;Todas las edades;Total;1 de enero de 2022;414
28031 Cadalso de los Vidrios;Todas las edades;Total;1 de enero de 2022;3.193
17032 Cadaqués;Todas las edades;Total;1 de enero de 2022;2.889
18035 Cádiar;Todas las edades;Total;1 de enero de 2022;1.542
11012 Cádiz;Todas las edades;Total;1 de enero de 2022;113.066
31064 Cadreita;Todas las edades;Total;1 de enero de 2022;2.083
50066 Cadrete;Todas las edades;Total;1 de enero de 2022;4.473
18036 Cájar;Todas las edades;Total;1 de enero de 2022;5.389
21016 Cala;Todas las edades;Total;1 de enero de 2022;1.155
40037 Calabazas de Fuentidueña;Todas las edades;Total;1 de enero de 2022;28
44049 Calaceite;Todas las edades;Total;1 de enero de 2022;993
08031 Calaf;Todas las edades;Total;1 de enero de 2022;3.590
43037 Calafell;Todas las edades;Total;1 de enero de 2022;29.102
26036 Calahorra;Todas las edades;Total;1 de enero de 2022;24.654
34041 Calahorra de Boedo;Todas las edades;Total;1 de enero de 2022;89
18114 Calahorra, La;Todas las edades;Total;1 de enero de 2022;664
44050 Calamocha;Todas las edades;Total;1 de enero de 2022;4.485
06025 Calamonte;Todas las edades;Total;1 de enero de 2022;6.115
44051 Calanda;Todas las edades;Total;1 de enero de 2022;3.755
21017 Calañas;Todas las edades;Total;1 de enero de 2022;2.734
30013 Calasparra;Todas las edades;Total;1 de enero de 2022;10.163
42046 Calatañazor;Todas las edades;Total;1 de enero de 2022;47
50067 Calatayud;Todas las edades;Total;1 de enero de 2022;19.776
50068 Calatorao;Todas las edades;Total;1 de enero de 2022;2.882
50069 Calcena;Todas las edades;Total;1 de enero de 2022;74
36005 Caldas de Reis;Todas las edades;Total;1 de enero de 2022;9.678
22072 Caldearenas;Todas las edades;Total;1 de enero de 2022;241
08034 Calders;Todas las edades;Total;1 de enero de 2022;1.101
17033 Caldes de Malavella;Todas las edades;Total;1 de enero de 2022;8.196
08033 Caldes de Montbui;Todas las edades;Total;1 de enero de 2022;17.932
08032 Caldes d'Estrac;Todas las edades;Total;1 de enero de 2022;3.148
08035 Calella;Todas las edades;Total;1 de enero de 2022;19.363
06026 Calera de León;Todas las edades;Total;1 de enero de 2022;933
45028 Calera y Chozas;Todas las edades;Total;1 de enero de 2022;4.716
09064 Caleruega;Todas las edades;Total;1 de enero de 2022;415
45029 Caleruela;Todas las edades;Total;1 de enero de 2022;202
18037 Calicasas;Todas las edades;Total;1 de enero de 2022;658
12034 Càlig;Todas las edades;Total;1 de enero de 2022;1.990
08037 Calldetenes;Todas las edades;Total;1 de enero de 2022;2.532
46079 Calles;Todas las edades;Total;1 de enero de 2022;374
03049 Callosa de Segura;Todas las edades;Total;1 de enero de 2022;19.315
03048 Callosa d'en Sarrià;Todas las edades;Total;1 de enero de 2022;7.653
08038 Callús;Todas las edades;Total;1 de enero de 2022;2.122
50070 Calmarza;Todas las edades;Total;1 de enero de 2022;63
44052 Calomarde;Todas las edades;Total;1 de enero de 2022;77
08036 Calonge de Segarra;Todas las edades;Total;1 de enero de 2022;195
17034 Calonge i Sant Antoni;Todas las edades;Total;1 de enero de 2022;11.712
03047 Calp;Todas las edades;Total;1 de enero de 2022;24.096
42048 Caltojar;Todas las edades;Total;1 de enero de 2022;53
37069 Calvarrasa de Abajo;Todas las edades;Total;1 de enero de 2022;1.173
37070 Calvarrasa de Arriba;Todas las edades;Total;1 de enero de 2022;590
07011 Calvià;Todas las edades;Total;1 de enero de 2022;52.458
32016 Calvos de Randín;Todas las edades;Total;1 de enero de 2022;678
37071 Calzada de Béjar, La;Todas las edades;Total;1 de enero de 2022;87
13027 Calzada de Calatrava;Todas las edades;Total;1 de enero de 2022;3.704
37072 Calzada de Don Diego;Todas las edades;Total;1 de enero de 2022;140
34042 Calzada de los Molinos;Todas las edades;Total;1 de enero de 2022;313
45030 Calzada de Oropesa;Todas las edades;Total;1 de enero de 2022;510
37073 Calzada de Valdunciel;Todas las edades;Total;1 de enero de 2022;706
24031 Calzada del Coto;Todas las edades;Total;1 de enero de 2022;224
10040 Calzadilla;Todas las edades;Total;1 de enero de 2022;473
06027 Calzadilla de los Barros;Todas las edades;Total;1 de enero de 2022;716
49032 Calzadilla de Tera;Todas las edades;Total;1 de enero de 2022;302
39015 Camaleño;Todas las edades;Total;1 de enero de 2022;966
44053 Camañas;Todas las edades;Total;1 de enero de 2022;137
25062 Camarasa;Todas las edades;Total;1 de enero de 2022;786
45031 Camarena;Todas las edades;Total;1 de enero de 2022;4.283
44054 Camarena de la Sierra;Todas las edades;Total;1 de enero de 2022;123
45032 Camarenilla;Todas las edades;Total;1 de enero de 2022;610
39016 Camargo;Todas las edades;Total;1 de enero de 2022;30.374
44055 Camarillas;Todas las edades;Total;1 de enero de 2022;84
15016 Camariñas;Todas las edades;Total;1 de enero de 2022;5.188
43903 Camarles;Todas las edades;Total;1 de enero de 2022;3.309
28032 Camarma de Esteruelas;Todas las edades;Total;1 de enero de 2022;7.595
49033 Camarzana de Tera;Todas las edades;Total;1 de enero de 2022;735
41021 Camas;Todas las edades;Total;1 de enero de 2022;27.443
36006 Cambados;Todas las edades;Total;1 de enero de 2022;13.671
23018 Cambil;Todas las edades;Total;1 de enero de 2022;2.642
15017 Cambre;Todas las edades;Total;1 de enero de 2022;24.505
43038 Cambrils;Todas las edades;Total;1 de enero de 2022;35.675
10041 Caminomorisco;Todas las edades;Total;1 de enero de 2022;1.155
44056 Caminreal;Todas las edades;Total;1 de enero de 2022;625
17035 Camós;Todas las edades;Total;1 de enero de 2022;715
41022 Campana, La;Todas las edades;Total;1 de enero de 2022;5.177
06028 Campanario;Todas las edades;Total;1 de enero de 2022;4.787
07012 Campanet;Todas las edades;Total;1 de enero de 2022;2.719
47030 Campaspero;Todas las edades;Total;1 de enero de 2022;1.042
24032 Campazas;Todas las edades;Total;1 de enero de 2022;106
17036 Campdevànol;Todas las edades;Total;1 de enero de 2022;3.217
17037 Campelles;Todas las edades;Total;1 de enero de 2022;162
03050 Campello, el;Todas las edades;Total;1 de enero de 2022;29.409
01017 Campezo/Kanpezu;Todas las edades;Total;1 de enero de 2022;1.094
16042 Campillo de Altobuey;Todas las edades;Total;1 de enero de 2022;1.262
50071 Campillo de Aragón;Todas las edades;Total;1 de enero de 2022;127
09065 Campillo de Aranda;Todas las edades;Total;1 de enero de 2022;177
23019 Campillo de Arenas;Todas las edades;Total;1 de enero de 2022;1.705
37074 Campillo de Azaba;Todas las edades;Total;1 de enero de 2022;146
10042 Campillo de Deleitosa;Todas las edades;Total;1 de enero de 2022;81
19059 Campillo de Dueñas;Todas las edades;Total;1 de enero de 2022;80
45033 Campillo de la Jara, El;Todas las edades;Total;1 de enero de 2022;336
06029 Campillo de Llerena;Todas las edades;Total;1 de enero de 2022;1.325
19060 Campillo de Ranas;Todas las edades;Total;1 de enero de 2022;109
47031 Campillo, El;Todas las edades;Total;1 de enero de 2022;202
21018 Campillo, El;Todas las edades;Total;1 de enero de 2022;2.018
29032 Campillos;Todas las edades;Total;1 de enero de 2022;8.372
16043 Campillos-Paravientos;Todas las edades;Total;1 de enero de 2022;103
16044 Campillos-Sierra;Todas las edades;Total;1 de enero de 2022;29
08039 Campins;Todas las edades;Total;1 de enero de 2022;557
19061 Campisábalos;Todas las edades;Total;1 de enero de 2022;67
17038 Campllong;Todas las edades;Total;1 de enero de 2022;535
22074 Campo;Todas las edades;Total;1 de enero de 2022;460
13028 Campo de Criptana;Todas las edades;Total;1 de enero de 2022;13.142
03051 Campo de Mirra/Camp de Mirra, el;Todas las edades;Total;1 de enero de 2022;433
37077 Campo de Peñaranda, El;Todas las edades;Total;1 de enero de 2022;263
40039 Campo de San Pedro;Todas las edades;Total;1 de enero de 2022;251
24033 Campo de Villavidel;Todas las edades;Total;1 de enero de 2022;201
36007 Campo Lameiro;Todas las edades;Total;1 de enero de 2022;1.721
10043 Campo Lugar;Todas las edades;Total;1 de enero de 2022;822
28033 Campo Real;Todas las edades;Total;1 de enero de 2022;6.651
21019 Campofrío;Todas las edades;Total;1 de enero de 2022;742
09066 Campolara;Todas las edades;Total;1 de enero de 2022;54
24034 Camponaraya;Todas las edades;Total;1 de enero de 2022;4.109
39027 Campoo de Enmedio;Todas las edades;Total;1 de enero de 2022;3.704
39017 Campoo de Yuso;Todas las edades;Total;1 de enero de 2022;688
47032 Camporredondo;Todas las edades;Total;1 de enero de 2022;156
22075 Camporrélls;Todas las edades;Total;1 de enero de 2022;136
46080 Camporrobles;Todas las edades;Total;1 de enero de 2022;1.196
07013 Campos;Todas las edades;Total;1 de enero de 2022;11.618
16901 Campos del Paraíso;Todas las edades;Total;1 de enero de 2022;691
30014 Campos del Río;Todas las edades;Total;1 de enero de 2022;2.090
18038 Campotéjar;Todas las edades;Total;1 de enero de 2022;1.231
17039 Camprodon;Todas las edades;Total;1 de enero de 2022;2.469
26037 Camprovín;Todas las edades;Total;1 de enero de 2022;171
45034 Camuñas;Todas las edades;Total;1 de enero de 2022;1.742
22076 Canal de Berdún;Todas las edades;Total;1 de enero de 2022;346
47033 Canalejas de Peñafiel;Todas las edades;Total;1 de enero de 2022;237
16045 Canalejas del Arroyo;Todas las edades;Total;1 de enero de 2022;168
05046 Canales;Todas las edades;Total;1 de enero de 2022;37
26038 Canales de la Sierra;Todas las edades;Total;1 de enero de 2022;83
46081 Canals;Todas las edades;Total;1 de enero de 2022;13.187
33010 Candamo;Todas las edades;Total;1 de enero de 2022;1.943
22077 Candasnos;Todas las edades;Total;1 de enero de 2022;396
38011 Candelaria;Todas las edades;Total;1 de enero de 2022;28.485
37078 Candelario;Todas las edades;Total;1 de enero de 2022;871
05047 Candeleda;Todas las edades;Total;1 de enero de 2022;5.044
42049 Candilichera;Todas las edades;Total;1 de enero de 2022;95
24036 Candín;Todas las edades;Total;1 de enero de 2022;248
25063 Canejan;Todas las edades;Total;1 de enero de 2022;92
23020 Canena;Todas las edades;Total;1 de enero de 2022;1.802
28034 Canencia;Todas las edades;Total;1 de enero de 2022;455
17040 Canet d'Adri;Todas las edades;Total;1 de enero de 2022;750
08040 Canet de Mar;Todas las edades;Total;1 de enero de 2022;14.845
46082 Canet d'En Berenguer;Todas las edades;Total;1 de enero de 2022;6.942
12036 Canet lo Roig;Todas las edades;Total;1 de enero de 2022;680
22078 Canfranc;Todas las edades;Total;1 de enero de 2022;612
36008 Cangas;Todas las edades;Total;1 de enero de 2022;26.832
33012 Cangas de Onís;Todas las edades;Total;1 de enero de 2022;6.260
33011 Cangas del Narcea;Todas las edades;Total;1 de enero de 2022;11.817
09067 Canicosa de la Sierra;Todas las edades;Total;1 de enero de 2022;426
18039 Caniles;Todas las edades;Total;1 de enero de 2022;4.018
37079 Canillas de Abajo;Todas las edades;Total;1 de enero de 2022;78
29033 Canillas de Aceituno;Todas las edades;Total;1 de enero de 2022;1.722
29034 Canillas de Albaida;Todas las edades;Total;1 de enero de 2022;796
47034 Canillas de Esgueva;Todas las edades;Total;1 de enero de 2022;69
26039 Canillas de Río Tuerto;Todas las edades;Total;1 de enero de 2022;40
04030 Canjáyar;Todas las edades;Total;1 de enero de 2022;1.163
43907 Canonja, La;Todas las edades;Total;1 de enero de 2022;5.873
08041 Canovelles;Todas las edades;Total;1 de enero de 2022;16.761
08042 Cànoves i Samalús;Todas las edades;Total;1 de enero de 2022;3.289
19064 Canredondo;Todas las edades;Total;1 de enero de 2022;76
09068 Cantabrana;Todas las edades;Total;1 de enero de 2022;23
37080 Cantagallo;Todas las edades;Total;1 de enero de 2022;275
37081 Cantalapiedra;Todas las edades;Total;1 de enero de 2022;904
40040 Cantalejo;Todas las edades;Total;1 de enero de 2022;3.461
17041 Cantallops;Todas las edades;Total;1 de enero de 2022;330
19065 Cantalojas;Todas las edades;Total;1 de enero de 2022;135
37082 Cantalpino;Todas las edades;Total;1 de enero de 2022;803
37083 Cantaracillo;Todas las edades;Total;1 de enero de 2022;193
44059 Cantavieja;Todas las edades;Total;1 de enero de 2022;707
41023 Cantillana;Todas las edades;Total;1 de enero de 2022;10.751
40041 Cantimpalos;Todas las edades;Total;1 de enero de 2022;1.334
05048 Cantiveros;Todas las edades;Total;1 de enero de 2022;97
04031 Cantoria;Todas las edades;Total;1 de enero de 2022;3.533
08043 Canyelles;Todas las edades;Total;1 de enero de 2022;5.007
03052 Cañada;Todas las edades;Total;1 de enero de 2022;1.191
44060 Cañada de Benatanduz;Todas las edades;Total;1 de enero de 2022;35
13029 Cañada de Calatrava;Todas las edades;Total;1 de enero de 2022;104
44061 Cañada de Verich, La;Todas las edades;Total;1 de enero de 2022;97
16046 Cañada del Hoyo;Todas las edades;Total;1 de enero de 2022;231
16047 Cañada Juncosa;Todas las edades;Total;1 de enero de 2022;231
41901 Cañada Rosal;Todas las edades;Total;1 de enero de 2022;3.379
44062 Cañada Vellida;Todas las edades;Total;1 de enero de 2022;38
42050 Cañamaque;Todas las edades;Total;1 de enero de 2022;25
16048 Cañamares;Todas las edades;Total;1 de enero de 2022;445
10044 Cañamero;Todas las edades;Total;1 de enero de 2022;1.641
18040 Cáñar;Todas las edades;Total;1 de enero de 2022;400
26040 Cañas;Todas las edades;Total;1 de enero de 2022;89
16049 Cañavate, El;Todas las edades;Total;1 de enero de 2022;136
10045 Cañaveral;Todas las edades;Total;1 de enero de 2022;1.018
21020 Cañaveral de León;Todas las edades;Total;1 de enero de 2022;393
16050 Cañaveras;Todas las edades;Total;1 de enero de 2022;244
16051 Cañaveruelas;Todas las edades;Total;1 de enero de 2022;129
16052 Cañete;Todas las edades;Total;1 de enero de 2022;792
14014 Cañete de las Torres;Todas las edades;Total;1 de enero de 2022;2.859
29035 Cañete la Real;Todas las edades;Total;1 de enero de 2022;1.584
36009 Cañiza, A;Todas las edades;Total;1 de enero de 2022;5.115
49034 Cañizal;Todas las edades;Total;1 de enero de 2022;415
19066 Cañizar;Todas las edades;Total;1 de enero de 2022;57
44063 Cañizar del Olivar;Todas las edades;Total;1 de enero de 2022;103
16053 Cañizares;Todas las edades;Total;1 de enero de 2022;429
49035 Cañizo;Todas las edades;Total;1 de enero de 2022;217
43039 Capafonts;Todas las edades;Total;1 de enero de 2022;121
31065 Caparroso;Todas las edades;Total;1 de enero de 2022;2.783
43040 Capçanes;Todas las edades;Total;1 de enero de 2022;407
07014 Capdepera;Todas las edades;Total;1 de enero de 2022;12.081
22079 Capdesaso;Todas las edades;Total;1 de enero de 2022;204
15018 Capela, A;Todas las edades;Total;1 de enero de 2022;1.225
22080 Capella;Todas las edades;Total;1 de enero de 2022;352
08044 Capellades;Todas las edades;Total;1 de enero de 2022;5.344
18042 Capileira;Todas las edades;Total;1 de enero de 2022;578
06030 Capilla;Todas las edades;Total;1 de enero de 2022;161
34045 Capillas;Todas las edades;Total;1 de enero de 2022;68
17042 Capmany;Todas las edades;Total;1 de enero de 2022;672
08045 Capolat;Todas las edades;Total;1 de enero de 2022;89
42051 Carabantes;Todas las edades;Total;1 de enero de 2022;13
28035 Carabaña;Todas las edades;Total;1 de enero de 2022;2.210
40161 Carabias;Todas las edades;Total;1 de enero de 2022;44
42052 Caracena;Todas las edades;Total;1 de enero de 2022;14
13030 Caracuel de Calatrava;Todas las edades;Total;1 de enero de 2022;125
18043 Carataunas;Todas las edades;Total;1 de enero de 2022;201
30015 Caravaca de la Cruz;Todas las edades;Total;1 de enero de 2022;25.722
33013 Caravia;Todas las edades;Total;1 de enero de 2022;508
09070 Carazo;Todas las edades;Total;1 de enero de 2022;30
49036 Carbajales de Alba;Todas las edades;Total;1 de enero de 2022;487
10046 Carbajo;Todas las edades;Total;1 de enero de 2022;196
37085 Carbajosa de la Sagrada;Todas las edades;Total;1 de enero de 2022;7.424
32018 Carballeda de Avia;Todas las edades;Total;1 de enero de 2022;1.219
32017 Carballeda de Valdeorras;Todas las edades;Total;1 de enero de 2022;1.409
27009 Carballedo;Todas las edades;Total;1 de enero de 2022;2.065
32019 Carballiño, O;Todas las edades;Total;1 de enero de 2022;13.932
15019 Carballo;Todas las edades;Total;1 de enero de 2022;31.432
49037 Carbellino;Todas las edades;Total;1 de enero de 2022;176
04032 Carboneras;Todas las edades;Total;1 de enero de 2022;8.210
16055 Carboneras de Guadazaón;Todas las edades;Total;1 de enero de 2022;794
40043 Carbonero el Mayor;Todas las edades;Total;1 de enero de 2022;2.476
23021 Carboneros;Todas las edades;Total;1 de enero de 2022;593
10047 Carcaboso;Todas las edades;Total;1 de enero de 2022;1.088
14015 Carcabuey;Todas las edades;Total;1 de enero de 2022;2.367
46083 Carcaixent;Todas las edades;Total;1 de enero de 2022;20.498
31066 Cárcar;Todas las edades;Total;1 de enero de 2022;1.124
31067 Carcastillo;Todas las edades;Total;1 de enero de 2022;2.428
09071 Carcedo de Bureba;Todas las edades;Total;1 de enero de 2022;43
09072 Carcedo de Burgos;Todas las edades;Total;1 de enero de 2022;465
02020 Carcelén;Todas las edades;Total;1 de enero de 2022;483
46084 Càrcer;Todas las edades;Total;1 de enero de 2022;1.808
23901 Cárcheles;Todas las edades;Total;1 de enero de 2022;1.310
08046 Cardedeu;Todas las edades;Total;1 de enero de 2022;18.785
26041 Cárdenas;Todas las edades;Total;1 de enero de 2022;128
16056 Cardenete;Todas las edades;Total;1 de enero de 2022;474
14016 Cardeña;Todas las edades;Total;1 de enero de 2022;1.455
09073 Cardeñadijo;Todas las edades;Total;1 de enero de 2022;1.425
09074 Cardeñajimeno;Todas las edades;Total;1 de enero de 2022;1.205
05049 Cardeñosa;Todas las edades;Total;1 de enero de 2022;425
34046 Cardeñosa de Volpejera;Todas las edades;Total;1 de enero de 2022;54
09075 Cardeñuela Riopico;Todas las edades;Total;1 de enero de 2022;107
45035 Cardiel de los Montes;Todas las edades;Total;1 de enero de 2022;394
08047 Cardona;Todas las edades;Total;1 de enero de 2022;4.575
19067 Cardoso de la Sierra, El;Todas las edades;Total;1 de enero de 2022;49
50072 Carenas;Todas las edades;Total;1 de enero de 2022;178
50073 Cariñena;Todas las edades;Total;1 de enero de 2022;3.345
15901 Cariño;Todas las edades;Total;1 de enero de 2022;3.699
46085 Carlet;Todas las edades;Total;1 de enero de 2022;15.945
14017 Carlota, La;Todas las edades;Total;1 de enero de 2022;14.324
08048 Carme;Todas las edades;Total;1 de enero de 2022;754
45036 Carmena;Todas las edades;Total;1 de enero de 2022;777
24037 Cármenes;Todas las edades;Total;1 de enero de 2022;329
41024 Carmona;Todas las edades;Total;1 de enero de 2022;29.279
06031 Carmonita;Todas las edades;Total;1 de enero de 2022;525
15020 Carnota;Todas las edades;Total;1 de enero de 2022;3.845
23024 Carolina, La;Todas las edades;Total;1 de enero de 2022;14.960
47035 Carpio;Todas las edades;Total;1 de enero de 2022;967
37086 Carpio de Azaba;Todas las edades;Total;1 de enero de 2022;115
45037 Carpio de Tajo, El;Todas las edades;Total;1 de enero de 2022;1.826
14018 Carpio, El;Todas las edades;Total;1 de enero de 2022;4.353
24038 Carracedelo;Todas las edades;Total;1 de enero de 2022;3.434
15021 Carral;Todas las edades;Total;1 de enero de 2022;6.649
45038 Carranque;Todas las edades;Total;1 de enero de 2022;5.155
37087 Carrascal de Barregas;Todas las edades;Total;1 de enero de 2022;1.356
37088 Carrascal del Obispo;Todas las edades;Total;1 de enero de 2022;193
40044 Carrascal del Río;Todas las edades;Total;1 de enero de 2022;146
10048 Carrascalejo;Todas las edades;Total;1 de enero de 2022;233
06032 Carrascalejo, El;Todas las edades;Total;1 de enero de 2022;84
16057 Carrascosa;Todas las edades;Total;1 de enero de 2022;68
42053 Carrascosa de Abajo;Todas las edades;Total;1 de enero de 2022;17
16058 Carrascosa de Haro;Todas las edades;Total;1 de enero de 2022;98
42054 Carrascosa de la Sierra;Todas las edades;Total;1 de enero de 2022;18
29036 Carratraca;Todas las edades;Total;1 de enero de 2022;718
33014 Carreño;Todas las edades;Total;1 de enero de 2022;10.226
05051 Carrera, La;Todas las edades;Total;1 de enero de 2022;157
09076 Carrias;Todas las edades;Total;1 de enero de 2022;25
45039 Carriches;Todas las edades;Total;1 de enero de 2022;276
46086 Carrícola;Todas las edades;Total;1 de enero de 2022;99
13031 Carrión de Calatrava;Todas las edades;Total;1 de enero de 2022;3.131
41025 Carrión de los Céspedes;Todas las edades;Total;1 de enero de 2022;2.562
34047 Carrión de los Condes;Todas las edades;Total;1 de enero de 2022;2.005
24039 Carrizo;Todas las edades;Total;1 de enero de 2022;2.234
13032 Carrizosa;Todas las edades;Total;1 de enero de 2022;1.154
24040 Carrocera;Todas las edades;Total;1 de enero de 2022;458
30016 Cartagena;Todas las edades;Total;1 de enero de 2022;216.961
29037 Cartajima;Todas las edades;Total;1 de enero de 2022;256
29038 Cártama;Todas las edades;Total;1 de enero de 2022;27.712
21021 Cartaya;Todas las edades;Total;1 de enero de 2022;20.717
32020 Cartelle;Todas las edades;Total;1 de enero de 2022;2.578
39018 Cartes;Todas las edades;Total;1 de enero de 2022;5.781
24041 Carucedo;Todas las edades;Total;1 de enero de 2022;501
19070 Casa de Uceda;Todas las edades;Total;1 de enero de 2022;92
29039 Casabermeja;Todas las edades;Total;1 de enero de 2022;3.813
37089 Casafranca;Todas las edades;Total;1 de enero de 2022;59
26042 Casalarreina;Todas las edades;Total;1 de enero de 2022;1.074
10049 Casar de Cáceres;Todas las edades;Total;1 de enero de 2022;4.481
45040 Casar de Escalona, El;Todas las edades;Total;1 de enero de 2022;1.891
10050 Casar de Palomero;Todas las edades;Total;1 de enero de 2022;1.036
19071 Casar, El;Todas las edades;Total;1 de enero de 2022;12.919
29040 Casarabonela;Todas las edades;Total;1 de enero de 2022;2.524
42055 Casarejos;Todas las edades;Total;1 de enero de 2022;154
29041 Casares;Todas las edades;Total;1 de enero de 2022;7.700
10051 Casares de las Hurdes;Todas las edades;Total;1 de enero de 2022;374
41026 Casariche;Todas las edades;Total;1 de enero de 2022;5.332
45041 Casarrubios del Monte;Todas las edades;Total;1 de enero de 2022;6.441
28036 Casarrubuelos;Todas las edades;Total;1 de enero de 2022;3.961
46087 Casas Altas;Todas las edades;Total;1 de enero de 2022;132
46088 Casas Bajas;Todas las edades;Total;1 de enero de 2022;171
16060 Casas de Benítez;Todas las edades;Total;1 de enero de 2022;816
10052 Casas de Don Antonio;Todas las edades;Total;1 de enero de 2022;184
10053 Casas de Don Gómez;Todas las edades;Total;1 de enero de 2022;286
06033 Casas de Don Pedro;Todas las edades;Total;1 de enero de 2022;1.436
16061 Casas de Fernando Alonso;Todas las edades;Total;1 de enero de 2022;1.144
16062 Casas de Garcimolina;Todas las edades;Total;1 de enero de 2022;31
16063 Casas de Guijarro;Todas las edades;Total;1 de enero de 2022;108
16064 Casas de Haro;Todas las edades;Total;1 de enero de 2022;844
02021 Casas de Juan Núñez;Todas las edades;Total;1 de enero de 2022;1.356
02022 Casas de Lázaro;Todas las edades;Total;1 de enero de 2022;321
16065 Casas de los Pinos;Todas las edades;Total;1 de enero de 2022;415
10056 Casas de Millán;Todas las edades;Total;1 de enero de 2022;558
10057 Casas de Miravete;Todas las edades;Total;1 de enero de 2022;119
06034 Casas de Reina;Todas las edades;Total;1 de enero de 2022;194
19073 Casas de San Galindo;Todas las edades;Total;1 de enero de 2022;21
02023 Casas de Ves;Todas las edades;Total;1 de enero de 2022;561
10054 Casas del Castañar;Todas las edades;Total;1 de enero de 2022;538
37090 Casas del Conde, Las;Todas las edades;Total;1 de enero de 2022;64
10055 Casas del Monte;Todas las edades;Total;1 de enero de 2022;775
05052 Casas del Puerto;Todas las edades;Total;1 de enero de 2022;80
45042 Casasbuenas;Todas las edades;Total;1 de enero de 2022;188
49038 Casaseca de Campeán;Todas las edades;Total;1 de enero de 2022;96
49039 Casaseca de las Chanas;Todas las edades;Total;1 de enero de 2022;375
02024 Casas-Ibáñez;Todas las edades;Total;1 de enero de 2022;4.547
16066 Casasimarro;Todas las edades;Total;1 de enero de 2022;3.140
05053 Casasola;Todas las edades;Total;1 de enero de 2022;67
47036 Casasola de Arión;Todas las edades;Total;1 de enero de 2022;217
10058 Casatejada;Todas las edades;Total;1 de enero de 2022;1.342
05054 Casavieja;Todas las edades;Total;1 de enero de 2022;1.418
22081 Casbas de Huesca;Todas las edades;Total;1 de enero de 2022;301
09077 Cascajares de Bureba;Todas las edades;Total;1 de enero de 2022;27
09078 Cascajares de la Sierra;Todas las edades;Total;1 de enero de 2022;31
31068 Cascante;Todas las edades;Total;1 de enero de 2022;3.950
44064 Cascante del Río;Todas las edades;Total;1 de enero de 2022;66
31069 Cáseda;Todas las edades;Total;1 de enero de 2022;946
43041 Caseres;Todas las edades;Total;1 de enero de 2022;233
05055 Casillas;Todas las edades;Total;1 de enero de 2022;649
10059 Casillas de Coria;Todas las edades;Total;1 de enero de 2022;337
37091 Casillas de Flores;Todas las edades;Total;1 de enero de 2022;185
46089 Casinos;Todas las edades;Total;1 de enero de 2022;2.994
40045 Casla;Todas las edades;Total;1 de enero de 2022;160
33015 Caso;Todas las edades;Total;1 de enero de 2022;1.443
50074 Caspe;Todas las edades;Total;1 de enero de 2022;10.220
19074 Caspueñas;Todas las edades;Total;1 de enero de 2022;119
17044 Cassà de la Selva;Todas las edades;Total;1 de enero de 2022;10.680
08049 Casserres;Todas las edades;Total;1 de enero de 2022;1.646
03053 Castalla;Todas las edades;Total;1 de enero de 2022;11.097
10060 Castañar de Ibor;Todas las edades;Total;1 de enero de 2022;1.025
26043 Castañares de Rioja;Todas las edades;Total;1 de enero de 2022;395
39019 Castañeda;Todas las edades;Total;1 de enero de 2022;3.067
21022 Castaño del Robledo;Todas las edades;Total;1 de enero de 2022;227
18044 Cástaras;Todas las edades;Total;1 de enero de 2022;233
31070 Castejón;Todas las edades;Total;1 de enero de 2022;4.311
16067 Castejón;Todas las edades;Total;1 de enero de 2022;124
50075 Castejón de Alarba;Todas las edades;Total;1 de enero de 2022;73
19075 Castejón de Henares;Todas las edades;Total;1 de enero de 2022;61
50076 Castejón de las Armas;Todas las edades;Total;1 de enero de 2022;81
22083 Castejón de Monegros;Todas las edades;Total;1 de enero de 2022;512
22084 Castejón de Sos;Todas las edades;Total;1 de enero de 2022;805
44065 Castejón de Tornos;Todas las edades;Total;1 de enero de 2022;53
50077 Castejón de Valdejasa;Todas las edades;Total;1 de enero de 2022;209
22082 Castejón del Puente;Todas las edades;Total;1 de enero de 2022;333
44066 Castel de Cabra;Todas las edades;Total;1 de enero de 2022;95
22085 Castelflorite;Todas las edades;Total;1 de enero de 2022;100
12037 Castell de Cabres;Todas las edades;Total;1 de enero de 2022;20
