Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
10006 Ahigal;Todas las edades;Total;1 de enero de 2022;1.371
37003 Ahigal de los Aceiteros;Todas las edades;Total;1 de enero de 2022;101
37004 Ahigal de Villarino;Todas las edades;Total;1 de enero de 2022;27
06003 Ahillones;Todas las edades;Total;1 de enero de 2022;826
20016 Aia;Todas las edades;Total;1 de enero de 2022;2.094
31009 Aibar/Oibar;Todas las edades;Total;1 de enero de 2022;784
46042 Aielo de Malferit;Todas las edades;Total;1 de enero de 2022;4.589
46043 Aielo de Rugat;Todas las edades;Total;1 de enero de 2022;166
08014 Aiguafreda;Todas las edades;Total;1 de enero de 2022;2.552
43001 Aiguamúrcia;Todas las edades;Total;1 de enero de 2022;961
17002 Aiguaviva;Todas las edades;Total;1 de enero de 2022;780
03004 Aigües;Todas las edades;Total;1 de enero de 2022;1.085
12002 Aín;Todas las edades;Total;1 de enero de 2022;136
22907 Aínsa-Sobrarbe;Todas las edades;Total;1 de enero de 2022;2.315
50006 Ainzón;Todas las edades;Total;1 de enero de 2022;1.066
22006 Aisa;Todas las edades;Total;1 de enero de 2022;339
25038 Aitona;Todas las edades;Total;1 de enero de 2022;2.521
20003 Aizarnazabal;Todas las edades;Total;1 de enero de 2022;774
28002 Ajalvir;Todas las edades;Total;1 de enero de 2022;4.751
26004 Ajamil de Cameros;Todas las edades;Total;1 de enero de 2022;68
48911 Ajangiz;Todas las edades;Total;1 de enero de 2022;480
45001 Ajofrín;Todas las edades;Total;1 de enero de 2022;2.290
44006 Alacón;Todas las edades;Total;1 de enero de 2022;219
50007 Aladrén;Todas las edades;Total;1 de enero de 2022;59
47004 Alaejos;Todas las edades;Total;1 de enero de 2022;1.385
50008 Alagón;Todas las edades;Total;1 de enero de 2022;7.178
10903 Alagón del Río;Todas las edades;Total;1 de enero de 2022;924
07002 Alaior;Todas las edades;Total;1 de enero de 2022;9.606
21001 Alájar;Todas las edades;Total;1 de enero de 2022;802
38003 Alajeró;Todas las edades;Total;1 de enero de 2022;2.029
29001 Alameda;Todas las edades;Total;1 de enero de 2022;5.451
37005 Alameda de Gardón, La;Todas las edades;Total;1 de enero de 2022;70
45002 Alameda de la Sagra;Todas las edades;Total;1 de enero de 2022;3.908
28003 Alameda del Valle;Todas las edades;Total;1 de enero de 2022;241
18002 Alamedilla;Todas las edades;Total;1 de enero de 2022;567
37006 Alamedilla, La;Todas las edades;Total;1 de enero de 2022;117
13003 Alamillo;Todas las edades;Total;1 de enero de 2022;464
19004 Alaminos;Todas las edades;Total;1 de enero de 2022;56
28004 Álamo, El;Todas las edades;Total;1 de enero de 2022;10.123
25004 Alamús, Els;Todas las edades;Total;1 de enero de 2022;781
06004 Alange;Todas las edades;Total;1 de enero de 2022;1.844
41002 Alanís;Todas las edades;Total;1 de enero de 2022;1.689
46005 Alaquàs;Todas las edades;Total;1 de enero de 2022;29.537
34005 Alar del Rey;Todas las edades;Total;1 de enero de 2022;909
37007 Alaraz;Todas las edades;Total;1 de enero de 2022;449
50009 Alarba;Todas las edades;Total;1 de enero de 2022;104
16003 Alarcón;Todas las edades;Total;1 de enero de 2022;152
19005 Alarilla;Todas las edades;Total;1 de enero de 2022;136
07001 Alaró;Todas las edades;Total;1 de enero de 2022;5.811
25005 Alàs i Cerc;Todas las edades;Total;1 de enero de 2022;329
02002 Alatoz;Todas las edades;Total;1 de enero de 2022;496
44007 Alba;Todas las edades;Total;1 de enero de 2022;181
34006 Alba de Cerrato;Todas las edades;Total;1 de enero de 2022;79
37008 Alba de Tormes;Todas las edades;Total;1 de enero de 2022;5.092
37009 Alba de Yeltes;Todas las edades;Total;1 de enero de 2022;211
02003 Albacete;Todas las edades;Total;1 de enero de 2022;172.357
25006 Albagés, L';Todas las edades;Total;1 de enero de 2022;348
46006 Albaida;Todas las edades;Total;1 de enero de 2022;5.989
41003 Albaida del Aljarafe;Todas las edades;Total;1 de enero de 2022;3.236
46007 Albal;Todas las edades;Total;1 de enero de 2022;16.845
10007 Albalá;Todas las edades;Total;1 de enero de 2022;665
13004 Albaladejo;Todas las edades;Total;1 de enero de 2022;1.074
16004 Albaladejo del Cuende;Todas las edades;Total;1 de enero de 2022;230
46008 Albalat de la Ribera;Todas las edades;Total;1 de enero de 2022;3.444
46009 Albalat dels Sorells;Todas las edades;Total;1 de enero de 2022;4.084
46010 Albalat dels Tarongers;Todas las edades;Total;1 de enero de 2022;1.368
22007 Albalate de Cinca;Todas las edades;Total;1 de enero de 2022;1.125
16005 Albalate de las Nogueras;Todas las edades;Total;1 de enero de 2022;259
19006 Albalate de Zorita;Todas las edades;Total;1 de enero de 2022;1.056
44008 Albalate del Arzobispo;Todas las edades;Total;1 de enero de 2022;1.959
22008 Albalatillo;Todas las edades;Total;1 de enero de 2022;204
04004 Albanchez;Todas las edades;Total;1 de enero de 2022;735
23001 Albanchez de Mágina;Todas las edades;Total;1 de enero de 2022;993
17003 Albanyà;Todas las edades;Total;1 de enero de 2022;180
19007 Albares;Todas las edades;Total;1 de enero de 2022;518
44009 Albarracín;Todas las edades;Total;1 de enero de 2022;1.008
45003 Albarreal de Tajo;Todas las edades;Total;1 de enero de 2022;692
02004 Albatana;Todas las edades;Total;1 de enero de 2022;670
25007 Albatàrrec;Todas las edades;Total;1 de enero de 2022;2.217
03005 Albatera;Todas las edades;Total;1 de enero de 2022;12.864
22009 Albelda;Todas las edades;Total;1 de enero de 2022;694
26005 Albelda de Iregua;Todas las edades;Total;1 de enero de 2022;3.591
16006 Albendea;Todas las edades;Total;1 de enero de 2022;122
19008 Albendiego;Todas las edades;Total;1 de enero de 2022;46
44010 Albentosa;Todas las edades;Total;1 de enero de 2022;275
16007 Alberca de Záncara, La;Todas las edades;Total;1 de enero de 2022;1.585
37010 Alberca, La;Todas las edades;Total;1 de enero de 2022;1.071
37011 Alberguería de Argañán, La;Todas las edades;Total;1 de enero de 2022;105
46011 Alberic;Todas las edades;Total;1 de enero de 2022;10.710
26006 Alberite;Todas las edades;Total;1 de enero de 2022;2.582
50010 Alberite de San Juan;Todas las edades;Total;1 de enero de 2022;78
22011 Albero Alto;Todas las edades;Total;1 de enero de 2022;117
22012 Albero Bajo;Todas las edades;Total;1 de enero de 2022;134
22013 Alberuela de Tubo;Todas las edades;Total;1 de enero de 2022;305
25008 Albesa;Todas las edades;Total;1 de enero de 2022;1.579
50011 Albeta;Todas las edades;Total;1 de enero de 2022;144
25009 Albi, L';Todas las edades;Total;1 de enero de 2022;755
09009 Albillos;Todas las edades;Total;1 de enero de 2022;220
43002 Albinyana;Todas las edades;Total;1 de enero de 2022;2.581
43003 Albiol, L';Todas las edades;Total;1 de enero de 2022;528
20004 Albiztur;Todas las edades;Total;1 de enero de 2022;316
12003 Albocàsser;Todas las edades;Total;1 de enero de 2022;1.264
04005 Alboloduy;Todas las edades;Total;1 de enero de 2022;615
18003 Albolote;Todas las edades;Total;1 de enero de 2022;19.199
18004 Albondón;Todas las edades;Total;1 de enero de 2022;724
17004 Albons;Todas las edades;Total;1 de enero de 2022;797
46012 Alborache;Todas las edades;Total;1 de enero de 2022;1.328
46013 Alboraia/Alboraya;Todas las edades;Total;1 de enero de 2022;25.149
02005 Alborea;Todas las edades;Total;1 de enero de 2022;663
50012 Alborge;Todas las edades;Total;1 de enero de 2022;111
05005 Albornos;Todas las edades;Total;1 de enero de 2022;172
04006 Albox;Todas las edades;Total;1 de enero de 2022;12.087
30004 Albudeite;Todas las edades;Total;1 de enero de 2022;1.390
06005 Albuera, La;Todas las edades;Total;1 de enero de 2022;2.014
46014 Albuixech;Todas las edades;Total;1 de enero de 2022;4.201
18005 Albuñán;Todas las edades;Total;1 de enero de 2022;407
18006 Albuñol;Todas las edades;Total;1 de enero de 2022;7.420
18007 Albuñuelas;Todas las edades;Total;1 de enero de 2022;787
06006 Alburquerque;Todas las edades;Total;1 de enero de 2022;5.144
45004 Alcabón;Todas las edades;Total;1 de enero de 2022;743
02006 Alcadozo;Todas las edades;Total;1 de enero de 2022;634
44011 Alcaine;Todas las edades;Total;1 de enero de 2022;46
